id,provider,region,instance_type,probe_kind,meta_policy,max_minutes,policy_version,instance_id,outcome,start_time_utc,end_time_utc,duration_minutes,interrupted,interrupt_bin,survived_hours,spot_price_usd,price_delta_6h,sampling_propensity,pred_h1_at_launch,pred_risk_5h_at_launch,features_snapshot,created_at,source,topup_reason
6793,aws,us-west-2,t3a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0e5b1355c147f5351,Interrupted,2026-02-17 19:53:12.215236+00,2026-02-17 20:50:23.899176+00,57.19,true,1,0,0.0359,0.0072,1,0.0498632464328205,,"{""launch_dow"":1,""launch_utc_hour"":19,""price_zscore_6h"":0.972972972972973,""launch_local_hour"":19}",2026-02-17 20:50:24.642732+00,topup,
6809,aws,us-east-1,c6i.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0588660e83fbc8c36,Censored (Stopped by Design),2026-02-17 19:53:10.040579+00,2026-02-17 20:53:19.281234+00,60.15,false,,1,0.0401,-0.000100000000000003,1,0.0808634461720517,,"{""launch_dow"":1,""launch_utc_hour"":19,""price_zscore_6h"":-0.3333333333333397,""launch_local_hour"":19}",2026-02-17 20:53:20.032404+00,topup,
6811,aws,us-west-2,t3a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0936de72aab797056,Censored (Stopped by Design),2026-02-17 19:53:14.195798+00,2026-02-17 20:53:25.681203+00,60.19,false,,1,0.0359,0.0072,1,0.0493494676057716,,"{""launch_dow"":1,""launch_utc_hour"":19,""price_zscore_6h"":0.972972972972973,""launch_local_hour"":19}",2026-02-17 20:53:26.417046+00,topup,
6812,aws,us-west-2,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-048feea717e0877c8,Censored (Stopped by Design),2026-02-17 19:53:16.252089+00,2026-02-17 20:53:32.191208+00,60.27,false,,1,0.041,-0.0206,1,0.00903084514641529,,"{""launch_dow"":1,""launch_utc_hour"":19,""price_zscore_6h"":-0.9903846153846154,""launch_local_hour"":19}",2026-02-17 20:53:32.960619+00,topup,
6813,aws,us-west-2,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-063f5f241df58bad1,Censored (Stopped by Design),2026-02-17 19:53:21.514392+00,2026-02-17 20:53:37.021224+00,60.26,false,,1,0.041,-0.0206,1,0.00861666667549639,,"{""launch_dow"":1,""launch_utc_hour"":19,""price_zscore_6h"":-0.9903846153846154,""launch_local_hour"":19}",2026-02-17 20:53:37.598371+00,topup,
6814,aws,us-west-2,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0a3184da46b3971b3,Censored (Stopped by Design),2026-02-17 19:53:26.908064+00,2026-02-17 20:53:42.835992+00,60.27,false,,1,0.041,-0.0206,1,0.00976388627207206,,"{""launch_dow"":1,""launch_utc_hour"":19,""price_zscore_6h"":-0.9903846153846154,""launch_local_hour"":19}",2026-02-17 20:53:43.730963+00,topup,
6815,aws,us-west-2,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-092305fa21de72236,Censored (Stopped by Design),2026-02-17 19:53:32.203031+00,2026-02-17 20:53:44.281195+00,60.2,false,,1,0.041,-0.0206,1,0.00862172447217553,,"{""launch_dow"":1,""launch_utc_hour"":19,""price_zscore_6h"":-0.9903846153846154,""launch_local_hour"":19}",2026-02-17 20:53:44.905603+00,topup,
6826,aws,us-west-2,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,,LaunchFailed,,2026-02-17 20:57:55.63166+00,0,false,,0,0.0473,-0.0051,1,0.0103252318927783,,"{""launch_dow"":1,""launch_utc_hour"":20,""price_zscore_6h"":-0.9622641509433963,""launch_local_hour"":20}",2026-02-17 20:57:55.727277+00,topup,
6827,aws,us-west-2,m6a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,,LaunchFailed,,2026-02-17 20:58:30.786136+00,0,false,,0,0.0473,-0.0051,1,0.0097712953144287,,"{""launch_dow"":1,""launch_utc_hour"":20,""price_zscore_6h"":-0.9622641509433963,""launch_local_hour"":20}",2026-02-17 20:58:30.878666+00,topup,
6828,aws,us-east-1,t3a.large,topup,min4_topup,60,meta_v3_ensemble_h1_hedge_persist,i-0fdf6fbeb033ffee4,Interrupted,2026-02-17 20:57:10.529438+00,2026-02-17 21:03:12.060266+00,6.03,true,1,0,0.0369,0.0094,1,0.264005709293495,,"{""launch_dow"":1,""launch_utc_hour"":20,""price_zscore_6h"":0.9791666666666666,""launch_local_hour"":20}",2026-02-17 21:03:12.445087+00,topup,
